的	3273181
哦	1511632
了	1125136
是	1079147
我	1036844
呢	869032
您	843791
吗	771343
好	733663
亲	728224
可以	564467
不	399069
嗯	385019
有	376608
给	352714
快递	350066
在	341937
发货	337602
买	323179
吧	314201
拍	312703
你	288539
客官	282447
什么	280821
下	280006
都	278539
这个	277201
就	269592
亲亲	257857
我们	252870
您好	243696
没有	242271
一下	239768
送	232858
那	232702
要	219738
这边	205611
啊	185794
也	182770
发	173515
帮	167199
现在	163656
还	159751
能	158042
看	157719
地址	152089
到	148803
今天	141479
会	138015
已经	135332
订单	129716
这	126908
等	126081
对	125540
2	125456
怎么	124399
没	124287
价格	122689
你们	121085
元	117289
不是	116631
活动	115170
5	110944
说	109458
用	107232
再	99227
明天	98945
和	97921
纯棉	97417
邮政	96263
优惠	95911
3	95698
一样	94742
小	92958
一个	91612
时候	91594
多少	91497
谢谢	87580
就是	87247
后	86921
付款	86686
还是	86263
退款	86015
湿巾	85372
收到	83311
不能	80587
麻烦	79898
干	79606
多	79382
么	78891
联系	78761
下单	78470
包	78102
核桃	77148
不好意思	76323
小店	76242
收货	75831
请	75733
的话	74387
号	73434
你好	72874
这款	72282
个	71746
大	69595
把	69031
发出	69011
包邮	68363
备注	65807
天	65682
改	65450
申请	64915
稍	64064
退	63283
点	62667
10	62552
之前	62280
一包	61596
核对	61224
哒	60117
不要	59677
仓库	59466
不会	59377
运费	58604
呀	56154
默认	55798
还有	55641
优惠券	55375
这样	55266
小时	55253
亲爱	55252
客气	55150
如果	54641
尽快	54008
直接	53819
吃	52552
那个	51842
东西	51782
时间	50850
茶	50667
因为	50619
抱歉	50560
哈	49052
恩恩	48402
拍下	48357
份	48130
6	48130
内	47434
很	47084
一起	46760
尺寸	46466
跟	46237
知道	46097
货	46041
啦	45775
无纺布	45771
实在	45555
汇通	45464
看看	45276
减	45095
问题	44331
满	44314
需要	44108
想	44007
天天	43889
质量	43705
店铺	43482
榴莲	42479
真的	41837
一份	41753
去	41740
口味	41507
不了	41267
其他	40650
4	40385
购买	40166
便宜	39839
钱	39146
左右	39121
刀	39106
你家	39085
1	38801
包装	38613
哪里	38587
改价	38503
一袋	38104
几天	37987
才	37769
比较	37675
来	37341
-	37278
百世	36940
是不是	36821
一般	35781
上	35656
里面	35608
20	35506
不同	35440
月	35393
可能	35063
两个	34911
问	34896
茶针	34634
528690173109	34514
不行	34476
袋	34209
物流	34088
一点	33793
自己	33680
按	33436
家	33107
应该	32940
但是	32682
提交	32622
过	32544
一些	32523
芒果	32201
亲请	32100
使用	32080
那边	32053
款	31957
退货	31938
到货	31933
包裹	31490
椒盐	31325
指定	31198
528105689823	30888
所以	30712
韵达	30292
好吃	30252
72	30161
差价	30122
赠品	30114
看到	30087
哪个	29818
EMS	29539
试吃	29109
只能	29033
一	28749
关注	28675
二	28566
保证	28553
12	28520
又	28483
先	28355
有没有	28243
一定	27995
早	27645
区别	27586
然后	27557
嘛	27294
重新	27266
领取	27217
退回	26960
商品	26867
宝贝	26840
恩	26732
让	26174
只有	25714
做	25694
划算	25501
斤	25473
人	25268
上次	25200
量	25150
这么	25132
199	25119
催	25036
味道	24976
放心	24879
处理	24808
换	24524
不用	24467
选择	24466
新货	24455
豆沙	24388
请问	24268
补发	24077
或者	23887
意思	23884
拒收	23805
改好	23595
目前	23421
客服	22974
两份	22960
昨天	22910
还要	22843
产品	22793
二家	22784
链接	22653
寄	22601
48	22579
嘉兴	22379
30	22308
为什么	22274
邮费	22118
具体	22051
小包	21837
电话	21791
行	21775
25	21565
最低	21467
宝宝	21454
自动	21422
找	21408
只	21382
抽	21278
15	21192
情况	21168
538832022583	21154
茶刀	21146
建议	21037
收藏	21020
哪	20960
以后	20930
粽子	20703
奶油	20677
里	20669
确定	20650
除	20543
截图	20501
喜欢	20367
99	20200
材质	19997
我要	19986
日期	19977
新鲜	19613
这种	19442
达	19412
生产日期	19281
由于	19204
新	19148
装	19093
厂家	19067
啥	18852
件	18821
着	18767
随机	18754
下次	18588
记得	18585
1520	18583
另外	18565
大概	18520
保质期	18509
可	18439
方面	18414
写	18351
这次	18260
8	18068
那么	18020
耐心	17808
44265219693	17689
加	17623
别的	17552
显示	17547
特价	17541
青团	17497
上面	17479
浙江	17436
小号	17398
修改	17310
好评	17259
卖	17223
当天	17174
回复	17157
信息	17135
两包	17062
从	17042
片	16909
比	16843
得	16821
签收	16801
首页	16766
一直	16725
之后	16681
礼盒	16567
拿	16511
这里	16466
坏	16384
一盒	16381
到时候	16375
礼品	16326
重量	16302
夹子	16268
聚	16232
催下	16107
补	16091
办法	16068
他	16018
100	15792
老板	15778
顺序	15733
两款	15730
纸	15665
有点	15663
年	15622
538872953711	15621
放	15580
开	15541
系统	15509
7	15499
正常	15316
按照	15312
16	15259
清楚	15142
9	15066
分	15066
公司	15030
合适	15014
打开	14987
盒	14980
出来	14971
:	14937
大小	14913
湿两用	14895
收件	14792
多久	14647
三袋	14583
不好	14581
一箱	14554
一次	14543
刚刚	14531
快	14513
一斤	14502
支持	14413
巾	14408
棉柔巾	14316
蛋黄	14311
已	14103
斤装	14088
一款	14083
袋子	14080
不错	14053
图片	14046
夹	14000
1020	13993
开始	13934
接受	13933
时	13879
要是	13875
单	13865
前	13859
给我发	13848
方便	13809
完	13781
着急	13731
返	13709
几个	13621
亏本	13581
奶油味	13580
帮亲	13548
很多	13491
差不多	13452
确认	13445
容易	13189
80	13050
皮	13027
过年	13007
问下	12972
一张	12924
味	12913
快点	12858
不到	12824
咯	12792
希望	12773
才能	12765
外	12713
块	12679
呗	12568
购物车	12558
核实	12539
中通	12458
原因	12453
而且	12384
没事	12375
擦	12375
这是	12335
哪款	12327
刚才	12273
带	12252
页面	12216
安排	12194
暂时	12186
分开	12158
涨价	12150
刚	12093
箱	12081
太	12044
试试	12004
满意	11965
马上	11937
付	11931
坚果	11896
原味	11893
怎么办	11872
价钱	11743
更	11735
错	11713
怎么样	11653
顾客	11604
拆	11575
每	11555
年前	11523
最近	11507
亲要	11493
价	11484
大号	11470
一共	11381
克	11345
数量	11340
不过	11334
尽量	11321
限购	11242
通知	11234
发票	11225
领	11208
原价	11194
植物纤维	11167
箱子	11146
买二送	11083
结束	11039
那种	11013
申通	10880
几包	10841
两种	10832
本店	10762
额	10690
等待	10679
最	10656
帮助	10650
单号	10582
肯定	10553
只要	10534
打包	10519
打	10507
取消	10504
他们	10488
次日	10487
11	10459
瓜子	10407
超过	10401
红枣	10382
熟	10357
慢	10344
过去	10339
想要	10316
退换货	10220
返现	10209
店	10203
恩恩是	10173
掉	10171
没收	10115
单子	10092
噢	10090
淘宝	10076
第一款	10060
亲拍	10030
掌柜	10010
出	10010
草莓	9921
改下	9897
35	9876
